nome,user_id,ativo,filial_codigo
,user_38V4b5nBZgEzYihzxiFWaSQwTV8,N,
,user_2vVAdRzFb4D3EIxuMmniTRiCuw5,S,SCS
,user_38c3QOWgIHBJurNaIoXzT7go8w4,N,
,user_2tgWqZss8GeX8QOxsUv0qZo1VWi,S,SCS
,user_3C1jTcnWD34QGdyF4UWWjoRwZrw,S,LGS
,user_3D3MKBll82dyXFYNBItpwoSOmqp,S,LGS
,user_3C4bD5iS3rJqhbdtUea6v569ScC,S,LGS
,user_38c3DJKzAM7NR5pxIXbxa8WGhOa,S,SCS
,user_38nKLg1LXpfL8fv0F5LE9CbsMyh,S,SCS-CL
,user_38elt5vLVevI8gwKsiTd0AVyrcH,N,
,user_39qGzo1NjbXdOWdbFFONQC9pGr4,N,
,user_38oaGNPkqTwwrXRcgAyAjb0gmLr,S,SCS
,user_38pzEb5W30oiTPFcAafr3ndMdef,S,SCS
,user_38nKRHPByFaABHoiObyUCgtZ2Vh,S,SCS
,user_38c3omzcAP9owZOhRgnoW1fQcSO,N,
,user_38nOq3YPaUb3QdrHhXTCKXb76nl,S,CAC
,user_38cEDlUsoja2dZAa2eQ6RxbzEa1,S,SCS
,user_38nNk5i8RMKdZpvfPIpnppQGzDe,S,CAC
,user_39Nk5KK7ApKMkRiPJPYqWaXq8iO,S,CAC
,user_3977jOZUAdnBkh3s5dDKdaLMmz6,N,
,user_3978MofwDqdHe6Au2XQoMUgcdUU,S,SCS
,user_39qH2b6JTXmQjPsElkMhEShxrBI,N,
,user_39qGwq9w55I1AK5BxrZTFWjwkxx,N,
,user_397MOCFHYsS2TJyCLDNkqfHfFy9,S,SCS
,user_398aJqIUtvtAAEX5dfhCCdpQpwk,N,
,user_39b07SR9yFdy71IF6LfgPilwpbo,N,
,user_39qGbfKELgwJtQO5w5FPuw5bxxj,S,VA
,user_3CP5s4e94SyFzQDOfag0mDQOoDE,S,CAC
,user_3978JowOxpFYU6TGGUpsgEPnZJS,S,SCS
,user_3977vVBgVOSnMWFYBehK2jc0icS,N,
,user_3AGPS7M0oHyWPNZDpK6PsV9jHnS,N,
,user_3A5rZZgzC4j7zKctxXLOVOqD2Af,S,SCS
,user_3A4P6BZPdHV1qS3ZH8GeKSkkG9b,S,SCS
,user_38wQJirKpgydqr7ctJmVQWcHiLv,N,
,user_3A4pzTLbRdG5zsmOsovySn3A6iM,N,
,user_3A74fHMQmYa9iYQEGzJ0XakAfLb,N,
,user_2uBBcxr0TLIXEkuawmuYnhwtc7E,S,SCS
,user_3CPBPuvqpDTSRNgzrPNtVuDSjdV,S,CAC
,user_380zjHVs3y3IGezypoY6VIDjCnH,S,CAC
,user_3A77Plnhg35qlSoVZBwW0tprwY5,S,SCS
,user_39FXiYjRGedH2jxGqR2P3lUJLdM,S,SCS
,user_3AuJMgy4UhJhOX5rwoy4Lnwugiz,N,
,user_35i8ausi95GWShjB3xg6QxucaWz,N,
,user_3BzRBVZEEDoW3FA99aoLCcJTwXP,S,LGS
,user_3Bj2oJklVWpYBMy9S5udZEinpp3,N,
,user_3AO8NFzUFkKJaA95fiqfYGCKINU,S,SCS
,user_3A4PPDWY9M40LVe2y9ofgq6mEbL,S,SCS
,user_3AuIEweZr8gxlTfe3wD4Gxt6OVA,S,CAC
,user_3BUn4v5t6eaQflQxndv3NZUa3WX,N,
,user_3AuGYEACcsiJBSNiY0q5bJYFcBh,N,
,user_3B36K1HHn3c1p5tFEKP0ejgVXqp,S,SCS
,user_3CPDG8y2eRCTSQ1kGuw8EhI9BlR,S,CAC
,user_3AFb2HpJ57s6qBU9sjdOpuMaYHa,S,SCS
,user_3CU05eV7vFc82gfrkir1pB8uF1g,S,SCS
,user_3CisGjitqanaWhOoj1SfGzsCkLN,N,
,user_3C3Aty9F8cQCIjpdgn2Z8k71LWU,S,LGS
,user_3CdFCFc5GnMB1YU5c19vr60UKpB,N,
,user_34yMGxDwQPuS40tkaKtc97Aa80L,S,LGS
,user_35HmRLVMdhGGJkxAbDJrwA0cJXU,S,SCS
,user_3BzXcKQQ7NyXZZ4K2Z8W9LxLVcn,S,LGS
,user_3C1jNwtqX8QmbPiMHVzUY2GWtk7,S,LGS
,user_3C0GDLWRWNFMHUcYlXDawVmQZx2,S,LGS
,user_3BzYEMMVqOVPjsvbkNwv8CknqUi,S,LGS
,user_3C0LMkJhr4IIZHQ5OIxnjozh4BW,S,LGS
,user_3CoDixwdqbDvI2Zq5nqZ56MLKr5,S,LGS
